URL_ID,URL,Positive SCORE,Negative SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,73,32,0.39,0.097,19.618,21.409,16.411,19.618,231,1079,2.076,633,7.816
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,74,38,0.321,0.161,12.393,18.012,12.162,12.393,125,694,1.775,350,6.866
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,42,0.215,0.114,13.97,21.368,14.135,13.97,200,936,2.058,546,7.691
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,66,27,0.419,0.122,11.418,16.078,10.998,11.418,123,765,1.822,420,7.014
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,63,25,0.432,0.097,13.567,15.402,11.588,13.567,140,909,1.851,430,7.068
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,50,26,0.316,0.122,14.512,20.994,14.202,14.512,131,624,1.857,296,7.138
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,32,11,0.488,0.109,9.85,17.513,10.945,9.85,69,394,1.85,177,6.98
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,4.0,25.0,11.6,4.0,1,4,1.75,2,7.75
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,38,13,0.49,0.136,12.897,13.102,10.4,12.897,49,374,1.652,141,6.65
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,73,39,0.304,0.102,16.388,16.211,13.04,16.388,178,1098,1.858,554,7.069
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,48,70,-0.186,0.109,11.761,13.216,9.991,11.761,143,1082,1.747,473,6.848
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,37,20,0.298,0.089,16.05,22.43,15.392,16.05,144,642,2.103,422,7.899
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,33,30,0.048,0.091,14.184,14.82,11.602,14.184,103,695,1.787,337,6.876
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,68,24,0.478,0.128,22.531,18.031,16.225,22.531,130,721,2.031,389,7.502
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,71,23,0.511,0.116,17.17,18.959,14.452,17.17,153,807,1.944,437,7.333
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,21,0,1.0,0.073,16.941,21.181,15.249,16.941,61,288,2.08,145,7.938
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,82,39,0.355,0.155,130.0,18.077,59.231,130.0,141,780,1.922,411,7.265
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,23,0,1.0,0.061,15.792,18.206,13.599,15.792,69,379,2.034,215,7.739
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,17,5,0.545,0.057,18.238,21.149,15.755,18.238,81,383,2.23,257,8.272
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,1,3,-0.5,0.048,84.0,26.19,44.076,84.0,22,84,2.19,52,8.214
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0.0,0.0,4.0,25.0,11.6,4.0,1,4,1.75,2,7.75
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,32,80,-0.429,0.152,17.524,16.44,13.586,17.524,121,736,1.872,341,7.298
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,14,16,-0.067,0.08,16.348,18.351,13.88,16.348,69,376,1.862,204,7.176
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,57,39,0.187,0.106,11.921,13.355,10.11,11.921,121,906,1.872,529,7.121
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,4,0.818,0.128,12.741,19.186,12.771,12.741,66,344,1.913,158,7.5
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,5,1,0.667,0.028,16.308,15.566,12.75,16.308,33,212,1.693,79,6.906
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,24,7,0.548,0.073,24.882,14.657,15.816,24.882,62,423,1.792,173,6.953
